count, instance_count, first_index, base_vertex, base_instance
384,1,50304,0,0,
384,1,50688,0,0,
384,1,51072,0,0,
384,1,51456,0,0,
384,1,51840,0,0,
384,1,52224,0,0,
384,1,52608,0,0,
384,1,52992,0,0,
384,1,53376,0,0,
384,1,53760,0,0,
384,1,54144,0,0,
384,1,54528,0,0,
384,1,54912,0,0,
384,1,55296,0,0,
384,1,55680,0,0,
384,1,56064,0,0,
384,1,56448,0,0,
384,1,56832,0,0,
384,1,57216,0,0,
384,1,57600,0,0,
384,1,57984,0,0,
384,1,58368,0,0,
384,1,58752,0,0,
384,1,59136,0,0,
384,1,59520,0,0,
384,1,59904,0,0,
384,1,60288,0,0,
384,1,60672,0,0,
384,1,61056,0,0,
384,1,61440,0,0,
384,1,61824,0,0,
384,1,62208,0,0,
384,1,62592,0,0,
384,1,62976,0,0,
384,1,63360,0,0,
384,1,63744,0,0,
384,1,64128,0,0,
384,1,64512,0,0,
384,1,64896,0,0,
384,1,65280,0,0,
384,1,65664,0,0,
384,1,66048,0,0,
384,1,66432,0,0,
384,1,66816,0,0,
384,1,67200,0,0,
384,1,67584,0,0,
384,1,67968,0,0,
384,1,68352,0,0,
384,1,68736,0,0,
384,1,69120,0,0,
384,1,69504,0,0,
384,1,69888,0,0,
384,1,70272,0,0,
384,1,70656,46893,1,
384,1,71040,46893,1,
384,1,71424,46893,1,
384,1,71808,46893,1,
384,1,72192,46893,1,
384,1,72576,46893,1,
384,1,72960,46893,1,
384,1,73344,46893,1,
384,1,73728,46893,1,
384,1,74112,46893,1,
384,1,74496,46893,1,
384,1,74880,46893,1,
384,1,75264,46893,1,
384,1,75648,46893,1,
384,1,76032,46893,1,
384,1,76416,46893,1,
384,1,76800,46893,1,
384,1,77184,46893,1,
384,1,77568,46893,1,
384,1,77952,46893,1,
384,1,78336,46893,1,
384,1,78720,46893,1,
384,1,79104,46893,1,
384,1,79488,46893,1,
384,1,79872,46893,1,
384,1,80256,46893,1,
384,1,80640,46893,1,
384,1,81024,46893,1,
384,1,81408,46893,1,
384,1,81792,46893,1,
384,1,82176,46893,1,
384,1,82560,46893,1,
384,1,82944,46893,1,
384,1,83328,46893,1,
384,1,83712,46893,1,
384,1,84096,46893,1,
384,1,84480,46893,1,
384,1,84864,46893,1,
384,1,85248,46893,1,
384,1,85632,46893,1,
384,1,86016,46893,1,
384,1,86400,46893,1,
384,1,86784,46893,1,
384,1,87168,46893,1,
384,1,87552,46893,1,
384,1,87936,46893,1,
384,1,88320,46893,1,
384,1,88704,46893,1,
384,1,89088,46893,1,
384,1,89472,46893,1,
384,1,89856,46893,1,
384,1,90240,46893,1,
384,1,90624,46893,1,
384,1,91008,46893,1,
384,1,91392,46893,1,
384,1,91776,46893,1,
384,1,92160,46893,1,
384,1,92544,46893,1,
384,1,92928,46893,1,
384,1,93312,46893,1,
384,1,93696,46893,1,
384,1,94080,46893,1,
384,1,94464,46893,1,
384,1,94848,46893,1,
384,1,95232,46893,1,
384,1,95616,46893,1,
384,1,96000,46893,1,
384,1,96384,46893,1,
384,1,96768,46893,1,
384,1,97152,46893,1,
384,1,97536,46893,1,
384,1,97920,46893,1,
384,1,98304,46893,1,
384,1,98688,46893,1,
384,1,99072,46893,1,
384,1,99456,46893,1,
384,1,99840,46893,1,
384,1,100224,46893,1,
384,1,100608,46893,1,
384,1,100992,46893,1,
384,1,101376,46893,1,
384,1,101760,46893,1,
384,1,102144,46893,1,
384,1,102528,46893,1,
384,1,102912,46893,1,
384,1,103296,46893,1,
384,1,103680,46893,1,
384,1,104064,46893,1,
384,1,104448,46893,1,
384,1,104832,46893,1,
384,1,105216,46893,1,
384,1,105600,46893,1,
384,1,105984,46893,1,
384,1,106368,46893,1,
384,1,106752,46893,1,
384,1,107136,46893,1,
384,1,107520,46893,1,
384,1,107904,46893,1,
384,1,108288,46893,1,
384,1,108672,46893,1,
384,1,109056,46893,1,
384,1,109440,46893,1,
384,1,109824,46893,1,
384,1,110208,46893,1,
384,1,110592,46893,1,
384,1,110976,46893,1,
384,1,111360,46893,1,
384,1,111744,46893,1,
384,1,112128,46893,1,
384,1,112512,46893,1,
384,1,112896,46893,1,
384,1,113280,46893,1,
384,1,113664,46893,1,
384,1,114048,46893,1,
384,1,114432,46893,1,
384,1,114816,46893,1,
384,1,115200,46893,1,
384,1,115584,46893,1,
384,1,115968,46893,1,
384,1,116352,46893,1,
384,1,116736,46893,1,
384,1,117120,46893,1,
384,1,117504,46893,1,
384,1,117888,46893,1,
384,1,118272,46893,1,
384,1,118656,46893,1,
384,1,119040,46893,1,
384,1,119424,46893,1,
384,1,119808,46893,1,
384,1,120192,46893,1,
384,1,120576,46893,1,
384,1,120960,46893,1,
384,1,121344,46893,1,
384,1,121728,46893,1,
384,1,122112,46893,1,
384,1,122496,46893,1,
384,1,122880,46893,1,
384,1,123264,46893,1,
384,1,123648,46893,1,
384,1,124032,46893,1,
384,1,124416,46893,1,
384,1,124800,46893,1,
384,1,125184,46893,1,
384,1,125568,46893,1,
384,1,125952,46893,1,
384,1,126336,46893,1,
384,1,126720,46893,1,
384,1,127104,46893,1,
384,1,127488,46893,1,
384,1,127872,46893,1,
384,1,128256,46893,1,
384,1,128640,46893,1,
384,1,129024,46893,1,
384,1,129408,46893,1,
384,1,129792,46893,1,
384,1,130176,46893,1,
384,1,130560,46893,1,
384,1,130944,46893,1,
384,1,131328,46893,1,
384,1,131712,46893,1,
384,1,132096,46893,1,
384,1,132480,46893,1,
384,1,132864,46893,1,
384,1,133248,46893,1,
384,1,133632,46893,1,
384,1,134016,46893,1,
384,1,134400,46893,1,
384,1,134784,46893,1,
384,1,135168,46893,1,
384,1,135552,46893,1,
384,1,135936,46893,1,
384,1,136320,46893,1,
384,1,136704,46893,1,
384,1,137088,46893,1,
384,1,137472,46893,1,
384,1,137856,46893,1,
384,1,138240,46893,1,
384,1,138624,46893,1,
384,1,139008,46893,1,
384,1,139392,46893,1,
384,1,139776,46893,1,
384,1,140160,46893,1,
384,1,140544,46893,1,
